Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Certificate,1,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Certificate,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$34,000 ",40
Certificate,1,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,"$39,700 ",90
Certificate,1,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$24,400 ",30
Certificate,1,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,,
Certificate,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,,
Certificate,1,03. Natural resources and conservation,03.02. Natural resources management and policy,,
Certificate,1,03. Natural resources and conservation,03.05. Forestry,,
Certificate,1,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,,
Certificate,1,"05. Area, ethnic, cultural, gender, and group studies","05.02. Ethnic, cultural minority, gender, and group studies",,
Certificate,1,"09. Communication, journalism and related programs",09.04. Journalism,,
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$40,300 ",80
Certificate,1,11. Computer and information sciences and support services,"11.01. Computer and information sciences and support services, general",,
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$37,100 ",110
Certificate,1,11. Computer and information sciences and support services,11.07. Computer science,,
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,"$24,500 ",40
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$31,900 ",120
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$33,600 ",70
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,"$26,400 ",30
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$54,300 ",40
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$46,200 ",50
Certificate,1,13. Education,"13.02. Bilingual, multilingual and multicultural education",,
Certificate,1,13. Education,"13.13. Teacher education and professional development, specific subject areas",,
Certificate,1,13. Education,13.15. Teaching assistants/aides,,
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$44,000 ",30
Bachelor's degree,1,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$41,200 ",50
Master's degree,1,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$53,000 ",60
Master's degree,1,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$67,600 ",20
Certificate,2,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$39,100 ",30
Certificate,2,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,"$38,700 ",70
Certificate,2,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$33,000 ",40
Diploma,2,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$42,300 ",80
Diploma,2,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$36,600 ",100
Certificate,1,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",,
Certificate,1,19. Family and consumer sciences/human sciences,19.06. Housing and human environments,,
Diploma,2,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,"$29,200 ",40
Diploma,2,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$37,300 ",150
Diploma,2,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$37,100 ",70
Diploma,2,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,"$34,600 ",40
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$64,300 ",40
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$52,900 ",60
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$51,700 ",40
Certificate,1,44. Public administration and social service professions,"44.00. Human services, general",,
Certificate,1,44. Public administration and social service professions,44.04. Public administration,,
Certificate,1,44. Public administration and social service professions,44.07. Social work,,
Bachelor's degree,2,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$48,200 ",50
Master's degree,2,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$51,300 ",50
Master's degree,2,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$75,100 ",30
Certificate,3,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$37,800 ",20
Certificate,3,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,"$37,400 ",60
Certificate,1,47. Mechanic and repair technologies/technicians,"47.00. Mechanics and repairers, general",,
Certificate,1,47. Mechanic and repair technologies/technicians,47.01. Electrical/electronics maintenance and repair technology,,
Certificate,1,47. Mechanic and repair technologies/technicians,"47.02. Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",,
Certificate,3,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$31,700 ",40
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$48,400 ",80
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$38,300 ",100
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,"$34,900 ",50
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$42,400 ",140
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$43,400 ",70
Certificate,1,50. Visual and performing arts,"50.01. Visual, digital and performing arts, general",,
Certificate,1,50. Visual and performing arts,"50.02. Crafts/craft design, folk art and artisanry",,
Diploma,3,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,"$26,300 ",40
Certificate,1,50. Visual and performing arts,50.05. Drama/theatre arts and stagecraft,,
Certificate,1,50. Visual and performing arts,50.06. Film/video and photographic arts,,
Certificate,1,50. Visual and performing arts,50.09. Music,,
Certificate,1,50. Visual and performing arts,"50.10. Arts, entertainment, and media management",,
Bachelor's degree,3,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$61,000 ",50
Bachelor's degree,3,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$53,800 ",60
Bachelor's degree,3,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$46,600 ",30
Bachelor's degree,3,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$51,300 ",50
Master's degree,3,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$58,700 ",50
Master's degree,3,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$79,700 ",20
Certificate,1,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Certificate,4,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$32,700 ",20
Certificate,1,51. Health professions and related programs,51.35. Somatic bodywork and related therapeutic services,,
Certificate,4,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,"$39,100 ",80
Certificate,4,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$31,100 ",50
Certificate,1,51. Health professions and related programs,"51.99. Health professions and related clinical sciences, other",,
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$50,100 ",70
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$41,800 ",110
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,"$29,400 ",40
Certificate,1,"52. Business, management, marketing and related support services",52.07. Entrepreneurial and small business operations,,
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$45,100 ",140
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$41,700 ",70
Diploma,4,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,"$35,900 ",40
Certificate,1,"52. Business, management, marketing and related support services",52.12. Management information systems and services,,
Certificate,1,"52. Business, management, marketing and related support services",52.13. Management sciences and quantitative methods,,
Bachelor's degree,4,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$71,900 ",50
Certificate,1,"52. Business, management, marketing and related support services",52.17. Insurance,,
Bachelor's degree,4,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$56,500 ",50
Certificate,1,55. French language and literature/lettersCAN,"55.01. French language and literature, generalCAN",,
Diploma,1,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general",,
Bachelor's degree,4,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$51,800 ",30
Diploma,1,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,,
Bachelor's degree,4,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$54,700 ",50
Master's degree,4,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$60,000 ",50
Master's degree,4,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$84,500 ",20
Certificate,5,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$28,300 ",30
Certificate,5,"01. Agriculture, agriculture operations and related sciences",01.02. Agricultural mechanization,"$46,600 ",100
Certificate,5,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$35,800 ",40
Diploma,5,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$48,100 ",80
Diploma,5,"01. Agriculture, agriculture operations and related sciences",01.03. Agricultural production operations,"$43,500 ",110
Diploma,5,"01. Agriculture, agriculture operations and related sciences",01.05. Agricultural and domestic animal services,"$38,300 ",50
Diploma,5,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$46,900 ",140
Diploma,5,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$38,600 ",70
Diploma,5,"01. Agriculture, agriculture operations and related sciences",01.11. Plant sciences,"$35,300 ",40
Bachelor's degree,5,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$67,700 ",50
Bachelor's degree,5,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$63,100 ",50
Bachelor's degree,5,"01. Agriculture, agriculture operations and related sciences",01.06. Applied horticulture/horticultural business services,"$56,400 ",20
Bachelor's degree,5,"01. Agriculture, agriculture operations and related sciences",01.09. Animal sciences,"$62,100 ",60
Master's degree,5,"01. Agriculture, agriculture operations and related sciences","01.00. Agriculture, general","$63,100 ",60
Master's degree,5,"01. Agriculture, agriculture operations and related sciences",01.01. Agricultural business and management,"$86,200 ",20
Diploma,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$39,900 ",210
Diploma,1,03. Natural resources and conservation,03.02. Natural resources management and policy,"$43,500 ",240
Diploma,1,03. Natural resources and conservation,03.05. Forestry,"$53,700 ",70
Diploma,1,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,"$39,300 ",30
Bachelor's degree,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$50,300 ",270
Bachelor's degree,1,03. Natural resources and conservation,03.02. Natural resources management and policy,"$58,500 ",280
Master's degree,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$70,800 ",90
Doctoral degree,1,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$38,500 ",30
Certificate,2,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$28,000 ",20
Diploma,2,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$45,400 ",190
Diploma,2,03. Natural resources and conservation,03.02. Natural resources management and policy,"$47,100 ",250
Diploma,2,03. Natural resources and conservation,03.05. Forestry,"$55,800 ",80
Diploma,2,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,"$36,800 ",20
Bachelor's degree,2,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$56,600 ",280
Bachelor's degree,2,03. Natural resources and conservation,03.02. Natural resources management and policy,"$64,900 ",260
Master's degree,2,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$70,000 ",90
Doctoral degree,2,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$70,900 ",30
Diploma,3,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$48,600 ",200
Diploma,1,"16. Aboriginal and foreign languages, literatures and linguistics",16.16. Sign language,,
Diploma,1,19. Family and consumer sciences/human sciences,"19.05. Foods, nutrition and related services",,
Diploma,1,19. Family and consumer sciences/human sciences,19.06. Housing and human environments,,
Diploma,3,03. Natural resources and conservation,03.02. Natural resources management and policy,"$44,500 ",270
Diploma,3,03. Natural resources and conservation,03.05. Forestry,"$58,900 ",70
Diploma,3,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,"$41,000 ",30
Bachelor's degree,3,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$60,600 ",270
Bachelor's degree,3,03. Natural resources and conservation,03.02. Natural resources management and policy,"$65,000 ",270
Master's degree,3,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$74,700 ",80
Doctoral degree,3,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$75,100 ",30
Diploma,4,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$48,300 ",210
Diploma,4,03. Natural resources and conservation,03.02. Natural resources management and policy,"$43,400 ",280
Diploma,4,03. Natural resources and conservation,03.05. Forestry,"$63,800 ",80
Diploma,4,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,"$44,900 ",30
Bachelor's degree,4,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$61,600 ",270
Diploma,1,44. Public administration and social service professions,"44.00. Human services, general",,
Diploma,1,44. Public administration and social service professions,44.05. Public policy analysis,,
Diploma,1,44. Public administration and social service professions,44.07. Social work,,
Diploma,1,45. Social sciences,45.07. Geography and cartography,,
Diploma,1,47. Mechanic and repair technologies/technicians,"47.02. Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",,
Bachelor's degree,4,03. Natural resources and conservation,03.02. Natural resources management and policy,"$67,800 ",250
Diploma,1,47. Mechanic and repair technologies/technicians,47.04. Precision systems maintenance and repair technologies,,
Master's degree,4,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$72,900 ",80
Doctoral degree,4,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$66,200 ",30
Certificate,5,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$45,700 ",30
Diploma,5,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$50,100 ",240
Diploma,5,03. Natural resources and conservation,03.02. Natural resources management and policy,"$45,900 ",290
Diploma,5,03. Natural resources and conservation,03.05. Forestry,"$62,400 ",80
Diploma,5,03. Natural resources and conservation,03.06. Wildlife and wildlands science and management,"$48,200 ",40
Bachelor's degree,5,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$58,900 ",260
Bachelor's degree,5,03. Natural resources and conservation,03.02. Natural resources management and policy,"$68,200 ",250
Diploma,1,50. Visual and performing arts,50.07. Fine arts and art studies,,
Master's degree,5,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$70,500 ",90
Diploma,1,50. Visual and performing arts,"50.10. Arts, entertainment, and media management",,
Doctoral degree,5,03. Natural resources and conservation,03.01. Natural resources conservation and research,"$83,400 ",20
