Credential,Field of Study (CIP code),Average Income One Year After Graduation,Cohort Size One Year After Graduation,Average Income Two Years After Graduation,Cohort Size Two Years After Graduation,Average Income Five Years After Graduation,Cohort Size Five Years After Graduation,Average Income Ten Years After Graduation,Cohort Size Ten Years After Graduation
Bachelor's degree,00. Total,51880,85080,58844,70620,69700,37610,80500,4760
Bachelor's degree,"01. Agriculture, agriculture operations and related sciences",46000,360,51455,310,55700,160,60500,40
Bachelor's degree,03. Natural resources and conservation,53580,990,60522,840,73300,510,85900,80
Bachelor's degree,"05. Area, ethnic, cultural, gender, and group studies",33180,330,39200,220,52375,100,n/a,n/a
Bachelor's degree,"09. Communication, journalism and related programs",43670,1080,49566,870,62183,470,84300,40
Bachelor's degree,11. Computer and information sciences and support services,58030,1820,62755,1680,74666,1080,85600,210
Bachelor's degree,13. Education,52540,15620,59222,13620,67266,7850,72700,860
Bachelor's degree,14. Engineering,72780,8520,80455,7450,98950,4130,122500,570
Bachelor's degree,15. Engineering technologies and engineering-related fields,80566,110,90300,80,n/a,n/a,n/a,n/a
Bachelor's degree,"16. Aboriginal and foreign languages, literatures and linguistics",29950,470,37255,330,43400,90,n/a,n/a
Bachelor's degree,19. Family and consumer sciences/human sciences,40930,720,44222,560,46283,290,46400,30
Bachelor's degree,22. Legal professions and studies,46000,30,51300,20,n/a,n/a,n/a,n/a
Bachelor's degree,23. English language and literature/letters,31990,1540,37722,1140,46016,550,61100,70
Bachelor's degree,"24. Liberal arts and sciences, general studies and humanities",40670,1640,43877,1390,52466,760,66000,80
Bachelor's degree,26. Biological and biomedical sciences,34870,3230,43122,2270,57583,990,64500,130
Bachelor's degree,27. Mathematics and statistics,40730,400,50933,340,59116,210,89200,30
Bachelor's degree,30. Multidisciplinary/interdisciplinary studies,47870,720,55822,570,65083,270,60300,20
Bachelor's degree,"31. Parks, recreation, leisure and fitness studies",37300,2130,43666,1650,53266,840,64300,140
Bachelor's degree,38. Philosophy and religious studies,30580,400,33544,320,39920,120,n/a,n/a
Bachelor's degree,40. Physical sciences,55350,1900,65788,1520,83866,750,102400,90
Bachelor's degree,42. Psychology,37240,3640,42233,2720,48833,1240,52600,150
Bachelor's degree,43. Security and protective services,77300,630,79700,550,80783,400,81900,30
Bachelor's degree,44. Public administration and social service professions,52750,1160,57055,1000,56933,570,67100,90
Bachelor's degree,45. Social sciences,40470,6420,46877,5220,58816,2680,75300,350
Bachelor's degree,50. Visual and performing arts,27930,2930,32333,2340,39233,1140,43900,120
Bachelor's degree,51. Health professions and related programs,72890,12780,75366,10850,76966,5640,69200,650
Bachelor's degree,"52. Business, management, marketing and related support services",51640,14010,58988,11530,75916,6030,91800,830
Bachelor's degree,54. History,33710,1010,39666,790,50750,380,74400,60
Bachelor's degree,55. French language and literature/letters,42000,20,n/a,n/a,n/a,n/a,n/a,n/a
Bachelor's degree + certificate/diploma,00. Total,56570,9940,59600,7420,68400,2800,76000,40
Bachelor's degree + certificate/diploma,"01. Agriculture, agriculture operations and related sciences",58450,50,64200,20,n/a,n/a,n/a,n/a
Bachelor's degree + certificate/diploma,03. Natural resources and conservation,59485,330,66033,270,79500,100,n/a,n/a
Bachelor's degree + certificate/diploma,"09. Communication, journalism and related programs",42366,330,46440,240,52200,60,n/a,n/a
Bachelor's degree + certificate/diploma,11. Computer and information sciences and support services,59600,290,62057,230,73375,110,n/a,n/a
Bachelor's degree + certificate/diploma,13. Education,57960,650,61175,510,63975,190,n/a,n/a
Bachelor's degree + certificate/diploma,14. Engineering,70300,140,85800,120,110300,40,n/a,n/a
Bachelor's degree + certificate/diploma,15. Engineering technologies and engineering-related fields,63500,220,66400,170,65800,30,n/a,n/a
Bachelor's degree + certificate/diploma,19. Family and consumer sciences/human sciences,47200,80,51800,30,n/a,n/a,n/a,n/a
Bachelor's degree + certificate/diploma,23. English language and literature/letters,41180,130,47000,70,n/a,n/a,n/a,n/a
Bachelor's degree + certificate/diploma,42. Psychology,47500,130,53050,60,63800,30,n/a,n/a
Bachelor's degree + certificate/diploma,43. Security and protective services,50657,270,57450,200,66766,100,n/a,n/a
Bachelor's degree + certificate/diploma,44. Public administration and social service professions,51414,510,53350,390,57833,130,n/a,n/a
Bachelor's degree + certificate/diploma,45. Social sciences,46200,190,52200,120,65150,60,n/a,n/a
Bachelor's degree + certificate/diploma,50. Visual and performing arts,29116,180,34660,150,39000,30,n/a,n/a
Bachelor's degree + certificate/diploma,51. Health professions and related programs,71477,1500,74250,1180,70260,420,n/a,n/a
Bachelor's degree + certificate/diploma,"52. Business, management, marketing and related support services",62830,3850,65088,2670,74740,920,n/a,n/a
Certificate,00. Total (All Graduates),37250,38070,40044,32110,44616,17350,45900,2540
Certificate,"01. Agriculture, agriculture operations and related sciences",31680,290,33214,180,34200,60,n/a,n/a
Certificate,03. Natural resources and conservation,47500,40,42500,50,53800,40,58000,30
Certificate,10. Communications technologies/technicians and support services,29300,180,31066,130,34150,50,n/a,n/a
Certificate,11. Computer and information sciences and support services,45850,740,50088,670,56966,360,78600,50
Certificate,12. Personal and culinary services,27350,650,28444,550,28083,240,38000,40
Certificate,13. Education,24390,1570,25600,1350,27466,800,28800,150
Certificate,15. Engineering technologies and engineering-related fields,60720,1430,66777,1230,82183,680,81100,80
Certificate,19. Family and consumer sciences/human sciences,23780,1130,23644,950,23016,440,5000,70
Certificate,"24. Liberal arts and sciences, general studies and humanities",24150,200,28600,170,37800,120,50800,40
Certificate,"31. Parks, recreation, leisure and fitness studies",42400,60,42150,60,n/a,n/a,n/a,n/a
Certificate,43. Security and protective services,45690,1500,52733,1320,72533,840,100600,90
Certificate,44. Public administration and social service professions,35400,20,n/a,n/a,n/a,n/a,n/a,n/a
Certificate,46. Construction trades,30760,680,32811,550,37383,350,39000,20
Certificate,47. Mechanic and repair technologies/technicians,64090,3250,76533,2680,85600,1440,65100,100
Certificate,48. Precision production,38010,750,44188,610,57450,380,125500,170
Certificate,49. Transportation and materials moving,44044,440,48350,390,58100,210,88000,30
Certificate,50. Visual and performing arts,23542,260,27775,250,32780,150,n/a,n/a
Certificate,51. Health professions and related programs,37220,18510,39500,15530,42966,8200,43100,1190
Certificate,"52. Business, management, marketing and related support services",36280,5610,38711,4750,41800,2500,42200,380
Certificate,54. History,40200,130,43500,110,48500,80,56900,30
Diploma ,00. Total (All Graduates),43460,52030,47044,44010,54083,23660,62800,3080
Diploma ,"01. Agriculture, agriculture operations and related sciences",35590,1030,39088,860,44533,500,55300,90
Diploma ,03. Natural resources and conservation,44840,1080,48444,910,57383,520,65100,80
Diploma ,04. Architecture and related services,44470,1210,48044,1010,59066,500,66700,60
Diploma ,"09. Communication, journalism and related programs",34540,1740,39000,1440,45666,690,56000,90
Diploma ,10. Communications technologies/technicians and support services,33590,1010,37388,840,45633,470,56800,70
Diploma ,11. Computer and information sciences and support services,41930,650,50000,570,63683,300,81500,60
Diploma ,12. Personal and culinary services,29690,840,30988,690,34633,360,35300,40
Diploma ,13. Education,26100,40,n/a,n/a,n/a,n/a,n/a,n/a
Diploma ,15. Engineering technologies and engineering-related fields,56330,8700,62377,7350,75400,4200,87200,600
Diploma ,19. Family and consumer sciences/human sciences,35350,1320,34988,1110,35566,570,35600,60
Diploma ,22. Legal professions and studies,39940,1200,42477,1040,47883,580,54000,80
Diploma ,"24. Liberal arts and sciences, general studies and humanities",28300,20,26450,40,n/a,n/a,n/a,n/a
Diploma ,25. Library science,32520,380,35122,330,44250,200,29200,30
Diploma ,"31. Parks, recreation, leisure and fitness studies",30460,530,35666,440,41866,230,62900,40
Diploma ,41. Science technologies/technicians,44350,560,48522,460,56850,310,57500,50
Diploma ,43. Security and protective services,44030,1980,52377,1710,68450,950,84700,120
Diploma ,44. Public administration and social service professions,37400,1870,38866,1500,38716,780,39900,120
Diploma ,47. Mechanic and repair technologies/technicians,58460,1590,64122,1320,87266,720,80600,40
Diploma ,48. Precision production,102085,380,118533,320,134666,140,178800,50
Diploma ,49. Transportation and materials moving,38000,20,n/a,n/a,n/a,n/a,n/a,n/a
Diploma ,50. Visual and performing arts,28540,1870,32422,1570,38233,790,40100,90
Diploma ,51. Health professions and related programs,50800,12280,52944,9980,54466,5060,64300,550
Diploma ,"52. Business, management, marketing and related support services",39330,11250,43033,10030,49066,5500,56200,740
Diploma ,54. History,40500,30,43100,40,48200,30,n/a,n/a
Doctoral Degree,00. Total,61560,3120,73300,2730,89933,1460,109000,170
Doctoral Degree,13. Education,86830,300,92700,250,99483,150,108200,30
Doctoral Degree,14. Engineering,80900,630,91166,580,110550,310,123200,30
Doctoral Degree,26. Biological and biomedical sciences,17150,380,28811,310,58266,170,83000,30
Doctoral Degree,40. Physical sciences,44050,360,57850,310,80400,160,n/a,n/a
Doctoral Degree,42. Psychology,64325,110,69900,60,79700,30,n/a,n/a
Doctoral Degree,45. Social sciences,63650,50,74900,30,n/a,n/a,n/a,n/a
Doctoral Degree,51. Health professions and related programs,60988,370,76537,320,90660,10065,n/a,n/a
Master's degree,00. Total,79260,16840,82700,14840,91866,8010,101000,1030
