Years After Graduation,Field of Study (2-digit CIP code),Median Income,cred_Bachelor's degree,cred_Certificate,cred_Diploma,cred_Doctoral degree,cred_Master's degree,cred_Professional bachelor's degree
0.004,-0.27,75800,1,0,0,0,0,0
-0.700,-0.62,40400,1,0,0,0,0,0
-0.700,0.30,69800,0,0,0,1,0,0
1.413,-0.33,38300,0,1,0,0,0,0
0.004,-1.05,47800,0,1,0,0,0,0
-1.404,-0.82,54300,1,0,0,0,0,0
-1.404,2.26,86900,0,0,0,0,1,0
1.413,0.13,57100,1,0,0,0,0,0
-1.404,0.30,62700,0,0,0,0,1,0
-1.404,-1.05,16800,0,1,0,0,0,0
-1.404,-0.83,32800,1,0,0,0,0,0
-0.700,-0.09,28000,0,1,0,0,0,0
0.709,-0.82,36200,1,0,0,0,0,0
0.709,0.68,58800,0,0,1,0,0,0
1.413,2.26,95300,1,0,0,0,0,0
-0.700,-0.33,55000,1,0,0,0,0,0
1.413,-0.09,45700,0,1,0,0,0,0
0.004,1.53,97400,0,0,0,0,1,0
0.004,-1.62,42400,1,0,0,0,0,0
-1.404,-0.77,31700,0,0,1,0,0,0
0.004,0.30,63100,1,0,0,0,0,0
0.004,-0.10,47700,1,0,0,0,0,0
0.709,-1.21,52900,1,0,0,0,0,0
-1.404,2.26,75700,1,0,0,0,0,0
-0.700,1.88,57700,0,1,0,0,0,0
1.413,-0.82,58900,0,0,0,0,1,0
0.004,-0.33,46800,0,1,0,0,0,0
0.004,2.26,68600,1,0,0,0,0,0
0.004,0.13,38300,0,1,0,0,0,0
1.413,0.30,48400,0,0,1,0,0,0
1.413,-0.10,63400,1,0,0,0,0,0
0.004,0.44,79400,0,0,0,1,0,0
0.709,-0.33,34300,0,1,0,0,0,0
0.004,-0.82,34900,0,0,1,0,0,0
0.004,0.68,79700,0,0,1,0,0,0
-1.404,-0.55,56800,0,0,0,0,1,0
-0.700,-0.10,75800,0,0,0,0,1,0
0.709,1.88,46700,0,1,0,0,0,0
-0.700,-0.09,45400,0,0,1,0,0,0
-1.404,-0.62,37100,0,0,0,0,1,0
-1.404,0.68,68500,0,1,0,0,0,0
1.413,-0.55,51300,0,0,1,0,0,0
-1.404,-1.13,32200,1,0,0,0,0,0
-1.404,-0.09,53700,0,0,1,0,0,0
0.004,0.30,92700,0,0,0,0,1,0
1.413,-1.62,27100,0,0,0,1,0,0
-0.700,-0.77,36200,0,0,1,0,0,0
-1.404,-0.10,49100,1,0,0,0,0,0
0.709,-0.82,50000,1,0,0,0,0,0
0.709,0.68,56700,0,1,0,0,0,0
1.413,0.13,53800,1,0,0,0,0,0
1.413,0.13,63900,0,0,1,0,0,0
-1.404,-0.64,46800,0,0,1,0,0,0
0.004,0.13,50000,1,0,0,0,0,0
-1.404,0.68,56300,0,1,0,0,0,0
0.709,-1.22,43100,0,0,1,0,0,0
-1.404,1.53,67100,0,0,0,1,0,0
1.413,-0.09,83400,0,0,0,1,0,0
0.709,-0.10,42600,1,0,0,0,0,0
0.004,-0.55,44400,1,0,0,0,0,0
0.004,-0.33,114500,0,0,0,0,1,0
-1.404,0.45,69100,0,0,0,0,1,0
-1.404,0.67,56500,0,0,1,0,0,0
-0.700,2.26,99700,0,0,0,0,1,0
0.709,0.30,72900,1,0,0,0,0,0
0.004,0.13,84300,0,0,0,0,0,1
-1.404,2.26,81600,1,0,0,0,0,0
-0.700,0.68,82000,0,1,0,0,0,0
0.004,-0.77,72700,0,0,0,1,0,0
-1.404,0.13,32600,0,1,0,0,0,0
0.709,-0.55,49800,1,0,0,0,0,0
0.709,-1.62,22100,0,0,0,1,0,0
-1.404,-0.64,38000,0,0,1,0,0,0
0.004,2.26,112700,1,0,0,0,0,0
1.413,1.53,96300,0,0,0,0,1,0
-0.700,0.13,46800,0,1,0,0,0,0
0.709,-0.90,42300,0,1,0,0,0,0
0.004,0.13,46500,0,1,0,0,0,0
-1.404,0.13,73400,0,0,0,0,1,0
0.004,0.13,53600,0,1,0,0,0,0
0.709,-1.62,44500,1,0,0,0,0,0
0.004,-0.77,58100,0,0,0,0,1,0
0.709,-1.50,21600,0,1,0,0,0,0
0.709,-0.33,49000,0,0,1,0,0,0
-1.404,0.13,42900,0,1,0,0,0,0
-0.700,0.19,69500,0,0,0,1,0,0
-1.404,-1.62,30500,0,1,0,0,0,0
0.709,-1.34,21600,0,1,0,0,0,0
0.004,-1.66,37800,1,0,0,0,0,0
1.413,-0.27,57600,1,0,0,0,0,0
0.709,0.13,23500,0,0,0,0,0,1
1.413,-0.10,53300,1,0,0,0,0,0
-1.404,2.26,69300,1,0,0,0,0,0
0.709,-0.82,53700,1,0,0,0,0,0
-0.700,0.13,44600,1,0,0,0,0,0
0.004,-0.77,48200,1,0,0,0,0,0
1.413,0.30,91800,0,0,0,1,0,0
0.709,0.62,43100,0,1,0,0,0,0
1.413,-0.33,69500,0,0,1,0,0,0
1.413,-0.77,39100,0,1,0,0,0,0
0.004,0.68,83300,0,1,0,0,0,0
-0.700,0.13,89800,0,0,0,1,0,0
0.709,2.26,109000,1,0,0,0,0,0
1.413,-0.64,55600,0,0,1,0,0,0
-1.404,-0.82,24500,0,0,1,0,0,0
0.004,0.19,54700,1,0,0,0,0,0
0.004,-1.62,36300,1,0,0,0,0,0
0.004,-1.66,24400,1,0,0,0,0,0
1.413,0.30,91000,0,0,0,0,1,0
0.709,-1.05,59500,0,1,0,0,0,0
0.709,-0.77,57700,0,0,0,0,1,0
-1.404,-1.66,35000,1,0,0,0,0,0
-0.700,2.26,70100,1,0,0,0,0,0
0.004,0.13,69400,0,0,0,0,0,1
0.709,0.13,66600,0,0,0,0,0,1
-1.404,-0.33,40200,0,0,1,0,0,0
0.004,2.26,81300,0,0,0,0,1,0
-0.700,-1.66,26400,0,0,1,0,0,0
0.004,0.68,64100,0,1,0,0,0,0
0.004,-1.66,44100,0,0,0,0,1,0
0.709,0.13,44600,0,0,1,0,0,0
-1.404,-0.33,54700,1,0,0,0,0,0
-1.404,0.68,46800,0,0,1,0,0,0
-1.404,-0.55,31700,0,0,1,0,0,0
-1.404,0.19,88500,0,0,0,0,1,0
-1.404,-0.10,39400,1,0,0,0,0,0
1.413,2.26,82000,1,0,0,0,0,0
-1.404,-1.22,41400,1,0,0,0,0,0
0.709,-0.33,72900,1,0,0,0,0,0
-1.404,0.13,34700,1,0,0,0,0,0
0.004,0.93,117500,0,0,1,0,0,0
-0.700,0.62,83400,0,0,0,0,0,1
0.004,-0.77,35500,0,0,1,0,0,0
-1.404,-0.82,33100,1,0,0,0,0,0
1.413,-0.77,35200,0,0,1,0,0,0
-1.404,1.88,35700,0,1,0,0,0,0
-1.404,2.26,63700,0,0,0,1,0,0
-1.404,0.19,36400,1,0,0,0,0,0
-0.700,-0.33,64600,0,0,1,0,0,0
1.413,-0.92,46000,1,0,0,0,0,0
0.709,-0.10,90300,0,0,0,0,1,0
-0.700,0.13,72200,0,0,0,0,1,0
0.709,0.44,76600,0,0,0,1,0,0
-1.404,-0.82,31300,0,0,0,1,0,0
1.413,0.68,83300,0,0,1,0,0,0
1.413,-0.10,54000,1,0,0,0,0,0
-0.700,-0.33,36000,0,0,1,0,0,0
1.413,-0.10,45500,1,0,0,0,0,0
0.004,-0.10,78800,0,0,0,1,0,0
0.709,-0.82,71900,1,0,0,0,0,0
0.709,0.13,79600,1,0,0,0,0,0
0.004,-1.66,45200,0,0,0,0,1,0
0.004,0.30,79800,0,0,0,0,1,0
-0.700,1.88,81300,0,0,1,0,0,0
0.004,-1.50,56000,0,1,0,0,0,0
0.004,-0.82,42400,0,0,1,0,0,0
0.004,2.26,91000,0,0,0,1,0,0
0.709,-0.33,48000,0,1,0,0,0,0
-0.700,-1.50,49100,0,1,0,0,0,0
0.709,0.19,63900,0,0,0,1,0,0
-1.404,0.19,39400,1,0,0,0,0,0
1.413,0.13,78400,0,0,0,0,1,0
-0.700,-0.10,41500,1,0,0,0,0,0
-1.404,-0.33,34400,0,1,0,0,0,0
0.709,-0.10,61000,0,0,0,0,1,0
0.709,-0.82,57100,1,0,0,0,0,0
-0.700,-0.62,53300,0,0,0,1,0,0
1.413,-0.09,50100,0,0,1,0,0,0
0.709,0.19,54300,1,0,0,0,0,0
0.004,-1.21,28600,0,0,1,0,0,0
0.709,0.67,91100,0,0,1,0,0,0
0.004,-0.82,60200,0,0,0,0,1,0
-1.404,-0.09,70800,0,0,0,0,1,0
0.004,-0.82,45600,1,0,0,0,0,0
1.413,0.13,46600,0,1,0,0,0,0
0.709,-1.66,33100,0,0,1,0,0,0
-1.404,0.62,41700,1,0,0,0,0,0
0.709,0.13,66400,0,0,0,0,1,0
-1.404,0.45,56200,1,0,0,0,0,0
0.709,0.19,64500,0,0,0,0,1,0
1.413,0.62,57100,1,0,0,0,0,0
0.709,2.26,128800,0,0,0,1,0,0
-1.404,-0.82,44000,1,0,0,0,0,0
-1.404,1.53,79400,1,0,0,0,0,0
-1.404,0.13,73800,1,0,0,0,0,0
1.413,0.44,56900,1,0,0,0,0,0
1.413,2.26,84500,1,0,0,0,0,0
0.709,-0.10,71500,0,0,0,0,1,0
-1.404,-0.82,47400,0,0,0,0,1,0
0.709,-0.33,53200,1,0,0,0,0,0
0.709,0.67,64800,1,0,0,0,0,0
0.004,0.45,74400,0,0,0,0,1,0
0.709,-1.22,38000,0,0,1,0,0,0
0.004,0.67,59400,1,0,0,0,0,0
0.709,-0.82,62200,1,0,0,0,0,0
0.709,-1.62,46200,1,0,0,0,0,0
0.709,-0.33,68800,0,0,1,0,0,0
0.004,-0.09,74700,0,0,0,0,1,0
